OVR,Rank,Tier,Name
1,RB1,1,Christian McCaffrey
2,WR1,1,CeeDee Lamb
3,WR2,1,Tyreek Hill
4,RB2,1,Breece Hall
5,WR3,1,Amon-Ra St. Brown
6,WR4,2,Ja'Marr Chase
7,RB3,1,Bijan Robinson
8,WR5,2,Justin Jefferson
9,RB4,2,Jahmyr Gibbs
10,WR6,2,A.J. Brown
11,WR7,2,Garrett Wilson
12,RB5,2,Travis Etienne
13,WR8,3,Puka Nacua
14,WR9,3,Marvin Harrison
15,WR10,3,Drake London
16,RB6,2,Saquon Barkley
17,RB7,3,De'Von Achane
18,RB8,3,Jonathan Taylor
19,RB9,3,Kyren Williams
20,RB10,3,Isiah Pacheco
21,RB11,4,Josh Jacobs
22,RB12,4,Joe Mixon
23,WR11,3,Chris Olave
24,WR12,3,Jaylen Waddle
25,WR13,3,Brandon Aiyuk
26,WR14,4,Cooper Kupp
27,WR15,4,Nico Collins
28,WR16,4,Mike Evans
29,WR17,4,Deebo Samuel
30,WR18,4,DK Metcalf
31,WR19,4,Davante Adams
32,RB13,4,Derrick Henry
33,QB1,1,Josh Allen
34,QB2,1,Jalen Hurts
35,WR20,4,Amari Cooper
36,TE1,1,Travis Kelce
37,WR21,5,Tee Higgins
38,WR22,5,DJ Moore
39,QB3,1,Patrick Mahomes
40,WR23,5,DeVonta Smith
41,WR24,5,Malik Nabers
42,TE2,1,Sam LaPorta
43,RB14,4,Alvin Kamara
44,WR25,5,Michael Pittman
45,QB4,1,Lamar Jackson
46,WR26,5,Rashee Rice
47,TE3,1,Trey McBride
48,RB15,4,James Cook
49,WR27,6,Christian Kirk
50,QB5,2,Anthony Richardson
51,TE4,2,Mark Andrews
52,RB16,4,Rachaad White
53,RB17,4,Rhamondre Stevenson
54,WR28,6,Diontae Johnson
55,WR29,6,Chris Godwin
56,QB6,2,Joe Burrow
57,WR30,6,George Pickens
58,WR31,6,Tank Dell
59,WR32,6,Keenan Allen
60,TE5,2,Dalton Kincaid
61,TE6,2,Evan Engram
62,RB18,5,Aaron Jones
63,WR33,6,Stefon Diggs
64,WR34,7,Zay Flowers
65,WR35,7,Terry McLaurin
66,WR36,7,Courtland Sutton
67,RB19,5,James Conner
68,TE7,3,Kyle Pitts
69,WR37,7,Calvin Ridley
70,WR38,7,Ladd McConkey
71,RB20,5,David Montgomery
72,RB21,5,Jaylen Warren
73,RB22,6,Tyjae Spears
74,RB23,6,Najee Harris
75,RB24,6,Javonte Williams
76,TE8,3,George Kittle
77,TE9,4,Jake Ferguson
78,WR39,7,Jordan Addison
79,QB7,2,Kyler Murray
80,QB8,2,C.J. Stroud
81,RB25,6,Raheem Mostert
82,RB26,6,Jerome Ford
83,WR40,7,Xavier Worthy
84,WR41,8,Jayden Reed
85,WR42,8,Rome Odunze
86,WR43,8,Keon Coleman
87,WR44,8,Joshua Palmer
88,WR45,8,Christian Watson
89,QB9,2,Jordan Love
90,TE10,4,David Njoku
91,RB27,6,Kenneth Walker
92,RB28,6,D'Andre Swift
93,WR46,8,Rashid Shaheed
94,WR47,9,Brandin Cooks
95,QB10,2,Dak Prescott
96,RB29,7,Zamir White
97,QB11,3,Caleb Williams
98,QB12,3,Jayden Daniels
99,QB13,3,Jared Goff
100,WR48,9,Jaxon Smith-Njigba
101,WR49,9,Marquise Brown
102,TE11,5,Brock Bowers
103,WR50,9,DeAndre Hopkins
104,RB30,7,Jonathon Brooks
105,RB31,7,Austin Ekeler
106,RB32,7,Brian Robinson
107,WR51,9,Brian Thomas
108,TE12,5,Dallas Goedert
109,QB14,3,Brock Purdy
110,RB33,7,Ezekiel Elliott
111,RB34,7,Devin Singletary
112,RB35,7,Zack Moss
113,QB15,3,Justin Herbert
114,WR52,9,Dontayvion Wicks
115,WR53,9,Mike Williams
116,WR54,10,Jahan Dotson
117,WR55,10,Adonai Mitchell
118,RB36,7,Tony Pollard
119,RB37,8,Chase Brown
120,RB38,8,Chuba Hubbard
121,RB39,8,Gus Edwards
122,RB40,8,Rico Dowdle
123,RB41,8,Blake Corum
124,TE13,6,Pat Freiermuth
125,QB16,3,Trevor Lawrence
126,RB42,8,Jaleel McLaughlin
127,WR56,10,Tyler Lockett
128,WR57,10,Curtis Samuel
129,WR58,10,Michael Wilson
130,WR59,10,Jakobi Meyers
131,WR60,10,Demario Douglas
132,QB17,3,Tua Tagovailoa
133,QB18,3,Matthew Stafford
134,WR61,10,Romeo Doubs
135,WR62,10,Jerry Jeudy
136,WR63,10,Javon Baker
137,TE14,6,Luke Musgrave
138,RB43,9,Zach Charbonnet
139,RB44,9,Trey Benson
140,RB45,9,Ray Davis
141,RB46,9,Tyler Allgeier
142,QB19,4,Deshaun Watson
143,QB20,4,Geno Smith
144,TE15,6,Taysom Hill
145,WR64,10,Jameson Williams
146,WR65,10,Khalil Shakir
147,WR66,10,Ja'Lynn Polk
148,WR67,10,Darnell Mooney
149,TE16,7,Hunter Henry
150,RB47,9,Kendre Miller
151,RB48,9,J.K. Dobbins
152,RB49,9,MarShawn Lloyd
153,RB50,9,Nick Chubb
154,RB51,9,Antonio Gibson
155,RB52,9,Tyrone Tracy
156,RB53,9,Justice Hill
157,TE17,7,Tyler Conklin
158,TE18,7,Dalton Schultz
159,TE19,7,Jonnu Smith
160,TE20,7,Mike Gesicki
161,WR68,10,Ricky Pearsall
162,WR69,10,Josh Downs
163,WR70,10,Jermaine Burton
164,QB21,4,Kirk Cousins
165,QB22,4,Aaron Rodgers
166,RB54,9,Roschon Johnson
167,RB55,9,Khalil Herbert
168,RB56,9,Braelon Allen
169,RB57,9,Jaylen Wright
170,QB23,5,Baker Mayfield
171,QB24,5,Bryce Young
172,QB25,5,Will Levis
173,TE21,7,Cole Kmet
174,TE22,7,Hayden Hurst
175,TE23,7,Zach Ertz
176,WR71,10,Demarcus Robinson
177,WR72,10,Gabe Davis
178,WR73,10,Roman Wilson
179,RB58,9,Bucky Irving
180,RB59,9,Keaton Mitchell
181,RB60,9,Will Shipley
182,RB61,9,Tank Bigsby
183,WR74,10,Adam Thielen
184,WR75,10,Xavier Legette
185,WR76,10,Wan'Dale Robinson
186,WR77,10,Greg Dortch
187,QB26,5,Derek Carr
188,QB27,6,Sam Darnold
189,QB28,6,Bo Nix
190,QB29,6,Daniel Jones
191,RB62,9,Audric Estime
192,RB63,9,AJ Dillon
193,RB64,9,Trey Sermon
194,RB65,9,Isaac Guerendo
195,WR78,10,Elijah Moore
196,WR79,10,Jalin Hyatt
197,WR80,10,Luke McCaffrey
199,QB30,6,Gardner Minshew
200,TE24,8,Colby Parkinson
301,RB66,9,Dameon Pierce
302,RB67,9,Clyde Edwards-Helaire
303,RB68,9,Elijah Mitchell
304,RB69,9,Miles Sanders
305,RB70,9,Ty Chandler
306,RB71,9,Alexander Mattison
307,RB72,9,Samaje Perine
308,RB73,9,Kimani Vidal
309,RB74,9,Jordan Mason
310,RB75,9,Keilan Robinson
311,RB76,9,Dylan Laube
312,RB77,9,Rasheen Ali
313,RB78,9,Jared Patterson
401,TE25,8,Noah Fant
402,TE26,8,Cade Otton
403,TE27,8,T.J. Hockenson
404,TE28,8,Theo Johnson
405,TE29,8,JaTavion Sanders
406,TE30,8,Ben Sinnott
407,TE31,8,Isaiah Likely
408,TE32,8,Chigoziem Okonkwo
409,TE33,8,Juwan Johnson
410,TE34,8,Will Dissly
411,TE35,8,Jelani Woods
412,TE36,8,Davis Allen
501,QB31,6,Russell Wilson
502,QB32,6,Drake Maye
503,QB33,6,Justin Fields
504,QB34,6,Zach Wilson
505,QB35,6,Drew Lock
506,QB36,6,Jacoby Brissett
