OVR;Pos;Rank;Tier;Name;Team;Bye;
1;WR;WR1;1;Ja'Marr Chase;CIN;wk10;
2;WR;WR2;1;CeeDee Lamb;DAL;wk10;
3;RB;RB1;1;Bijan Robinson;ATL;wk5;
4;RB;RB2;1;Saquon Barkley;PHI;wk9;
5;RB;RB3;1;Jahmyr Gibbs;DET;wk8;
6;WR;WR3;1;Puka Nacua;LAR;wk8;
7;WR;WR4;1;Justin Jefferson;MIN;wk6;
8;WR;WR5;2;Brian Thomas;JAX;wk8;
9;WR;WR6;2;Nico Collins;HOU;wk6;
10;WR;WR7;2;Amon-Ra St. Brown;DET;wk8;
11;RB;RB4;1;De'Von Achane;MIA;wk12;
12;RB;RB5;2;Christian McCaffrey;SF;wk14;
13;RB;RB6;2;Derrick Henry;BAL;wk7;
14;WR;WR8;2;Malik Nabers;NYG;wk14;
15;WR;WR9;2;A.J. Brown;PHI;wk9;
16;WR;WR10;3;Drake London;ATL;wk5;
17;WR;WR11;3;Tee Higgins;CIN;wk10;
18;RB;RB7;2;Ashton Jeanty;LV;wk8;
19;RB;RB8;2;Bucky Irving;TB;wk9;
20;RB;RB9;2;Josh Jacobs;GB;wk5;
21;RB;RB10;2;Chase Brown;CIN;wk10;
22;RB;RB11;2;Kyren Williams;LAR;wk8;
23;WR;WR12;3;Rashee Rice;KC;wk10;
24;WR;WR13;3;Jaxon Smith-Njigba;SEA;wk8;
25;TE;TE1;1;Brock Bowers;LV;wk8;
26;WR;WR14;3;Ladd McConkey;LAC;wk12;
27;TE;TE2;1;Trey McBride;ARI;wk8;
28;WR;WR15;4;Davante Adams;LAR;wk8;
29;RB;RB12;2;Jonathan Taylor;IND;wk11;
30;RB;RB13;2;Alvin Kamara;NO;wk11;
31;WR;WR16;4;Tyreek Hill;MIA;wk12;
32;WR;WR17;4;Mike Evans;TB;wk9;
33;QB;QB1;1;Lamar Jackson;BAL;wk7;
34;QB;QB2;1;Josh Allen;BUF;wk7;
35;QB;QB3;1;Jayden Daniels;WAS;wk12;
36;QB;QB4;1;Jalen Hurts;PHI;wk9;
37;RB;RB14;2;Joe Mixon;HOU;wk6;
38;RB;RB15;2;James Cook;BUF;wk7;
39;QB;QB5;2;Joe Burrow;CIN;wk10;
40;TE;TE3;1;George Kittle;SF;wk14;
41;WR;WR18;4;Terry McLaurin;WAS;wk12;
42;WR;WR19;4;Garrett Wilson;NYJ;wk9;
43;WR;WR20;4;DJ Moore;CHI;wk5;
44;WR;WR21;5;DK Metcalf;PIT;wk5;
45;RB;RB16;3;James Conner;ARI;wk8;
46;RB;RB17;3;Breece Hall;NYJ;wk9;
47;RB;RB18;3;Chuba Hubbard;CAR;wk14;
48;RB;RB19;3;Kenneth Walker;SEA;wk8;
49;WR;WR22;5;George Pickens;DAL;wk10;
50;WR;WR23;5;DeVonta Smith;PHI;wk9;
51;WR;WR24;5;Jaylen Waddle;MIA;wk12;
52;WR;WR25;5;Zay Flowers;BAL;wk7;
53;WR;WR26;5;Marvin Harrison;ARI;wk8;
54;RB;RB20;3;Omarion Hampton;LAC;wk12;
55;RB;RB21;3;Aaron Jones;MIN;wk6;
56;RB;RB22;3;TreVeyon Henderson;NE;wk14;
57;RB;RB23;3;Kaleb Johnson;PIT;wk5;
58;RB;RB24;3;RJ Harvey;DEN;wk12;
59;WR;WR27;5;Courtland Sutton;DEN;wk12;
60;WR;WR28;5;Jameson Williams;DET;wk8;
61;WR;WR29;6;Chris Godwin;TB;wk9;
62;WR;WR30;6;Calvin Ridley;TEN;wk10;
63;WR;WR31;6;Rome Odunze;CHI;wk5;
64;WR;WR32;6;Chris Olave;NO;wk11;
65;WR;WR33;6;Tetairoa McMillan;CAR;wk14;
66;WR;WR34;6;Xavier Worthy;KC;wk10;
67;RB;RB25;3;Tony Pollard;TEN;wk10;
68;RB;RB26;3;David Montgomery;DET;wk8;
69;RB;RB27;4;D'Andre Swift;CHI;wk5;
70;WR;WR35;6;Jauan Jennings;SF;wk14;
71;WR;WR36;6;Travis Hunter;JAX;wk8;
72;WR;WR37;6;Jordan Addison;MIN;wk6;
73;QB;QB6;3;Justin Fields;NYJ;wk9;
74;QB;QB7;3;Bo Nix;DEN;wk12;
75;QB;QB8;3;Brock Purdy;SF;wk14;
76;RB;RB28;4;Brian Robinson;WAS;wk12;
77;RB;RB29;4;Isiah Pacheco;KC;wk10;
78;RB;RB30;5;Quinshon Judkins;CLE;wk9;
79;WR;WR38;6;Stefon Diggs;NE;wk14;
80;WR;WR39;6;Jerry Jeudy;CLE;wk9;
81;WR;WR40;6;Darnell Mooney;ATL;wk5;
82;RB;RB31;5;Javonte Williams;DAL;wk10;
83;RB;RB32;5;Cam Skattebo;NYG;wk14;
84;RB;RB33;5;Jaylen Warren;PIT;wk5;
85;RB;RB34;5;Travis Etienne;JAX;wk8;
86;QB;QB9;3;Kyler Murray;ARI;wk8;
87;QB;QB10;3;Patrick Mahomes;KC;wk10;
88;QB;QB11;3;Dak Prescott;DAL;wk10;
89;QB;QB12;3;Justin Herbert;LAC;wk12;
90;QB;QB13;3;Drake Maye;NE;wk14;
91;TE;TE4;2;Sam LaPorta;DET;wk8;
92;TE;TE5;2;Travis Kelce;KC;wk10;
93;TE;TE6;2;T.J. Hockenson;MIN;wk6;
94;TE;TE7;2;David Njoku;CLE;wk9;
95;TE;TE8;2;Evan Engram;DEN;wk12;
96;TE;TE9;2;Mark Andrews;BAL;wk7;
97;QB;QB14;3;Baker Mayfield;TB;wk9;
98;QB;QB15;3;Caleb Williams;CHI;wk5;
99;WR;WR41;6;Jakobi Meyers;LV;wk8;
100;WR;WR42;6;Khalil Shakir;BUF;wk7;
101;WR;WR43;6;Matthew Golden;GB;wk5;
102;WR;WR44;6;Jayden Reed;GB;wk5;
103;RB;RB35;6;Tyrone Tracy;NYG;wk14;
104;RB;RB36;6;Austin Ekeler;WAS;wk12;
105;TE;TE10;2;Hunter Henry;NE;wk14;
106;TE;TE11;3;Dallas Goedert;PHI;wk9;
107;WR;WR45;6;Josh Downs;IND;wk11;
108;WR;WR46;6;Ricky Pearsall;SF;wk14;
109;WR;WR47;6;Adam Thielen;CAR;wk14;
110;WR;WR48;6;Cooper Kupp;SEA;wk8;
111;WR;WR49;6;Cedric Tillman;CLE;wk9;
112;RB;RB37;6;J.K. Dobbins;DEN;wk12;
113;RB;RB38;6;Najee Harris;LAC;wk12;
114;RB;RB39;6;Rhamondre Stevenson;NE;wk14;
115;RB;RB40;6;Tank Bigsby;JAX;wk8;
116;RB;RB41;6;Zach Charbonnet;SEA;wk8;
117;WR;WR50;7;Deebo Samuel;WAS;wk12;
118;WR;WR51;7;Kyle Williams;NE;wk14;
119;WR;WR52;7;Tre Harris;LAC;wk12;
120;WR;WR53;7;Rashid Shaheed;NO;wk11;
121;WR;WR54;7;Michael Pittman;IND;wk11;
122;WR;WR55;7;Jayden Higgins;HOU;wk6;
123;WR;WR56;7;Emeka Egbuka;TB;wk9;
124;RB;RB42;7;Tyjae Spears;TEN;wk10;
125;RB;RB43;7;Jordan Mason;MIN;wk6;
126;RB;RB44;7;Dylan Sampson;CLE;wk9;
127;RB;RB45;7;Jaylen Wright;MIA;wk12;
128;RB;RB46;7;Jaydon Blue;DAL;wk10;
129;RB;RB47;7;Rico Dowdle;CAR;wk14;
130;RB;RB48;8;Trey Benson;ARI;wk8;
131;RB;RB49;8;Ray Davis;BUF;wk7;
132;RB;RB50;8;Tyler Allgeier;ATL;wk5;
133;TE;TE12;3;Dalton Kincaid;BUF;wk7;
134;TE;TE13;4;Jake Ferguson;DAL;wk10;
135;QB;QB16;3;Jordan Love;GB;wk5;
136;QB;QB17;3;Jared Goff;DET;wk8;
137;QB;QB18;4;Tua Tagovailoa;MIA;wk12;
138;TE;TE14;4;Zach Ertz;WAS;wk12;
139;TE;TE15;4;Tyler Warren;IND;wk11;
140;TE;TE16;4;Tucker Kraft;GB;wk5;
141;QB;QB19;4;Matthew Stafford;LAR;wk8;
142;QB;QB20;4;J.J. McCarthy;MIN;wk6;
143;QB;QB21;5;C.J. Stroud;HOU;wk6;
144;QB;QB22;5;Geno Smith;LV;wk8;
145;QB;QB23;5;Trevor Lawrence;JAX;wk8;
146;QB;QB24;5;Sam Darnold;SEA;wk8;
147;QB;QB25;5;Michael Penix;ATL;wk5;
148;QB;QB26;5;Bryce Young;CAR;wk14;
149;WR;WR57;7;Christian Kirk;HOU;wk6;
150;WR;WR58;7;Keon Coleman;BUF;wk7;
151;WR;WR59;7;Jack Bech;LV;wk8;
152;RB;RB51;8;Rachaad White;TB;wk9;
153;RB;RB52;8;Isaac Guerendo;SF;wk14;
154;RB;RB53;8;MarShawn Lloyd;GB;wk5;
155;RB;RB54;8;Bhayshul Tuten;JAX;wk8;
156;RB;RB55;8;Roschon Johnson;CHI;wk5;
157;RB;RB56;8;Kareem Hunt;KC;wk10;
158;WR;WR60;7;Tyler Lockett;TEN;wk10;
159;WR;WR61;8;Rashod Bateman;BAL;wk7;
160;WR;WR62;8;Xavier Legette;CAR;wk14;
161;WR;WR63;8;Hollywood Brown;KC;wk10;
162;WR;WR64;8;Diontae Johnson;CLE;wk9;
163;WR;WR65;8;Dontayvion Wicks;GB;wk5;
164;WR;WR66;8;Romeo Doubs;GB;wk5;
165;WR;WR67;8;Wan'Dale Robinson;NYG;wk14;
166;TE;TE17;4;Jonnu Smith;PIT;wk5;
167;TE;TE18;5;Brenton Strange;JAX;wk8;
168;TE;TE19;5;Colston Loveland;CHI;wk5;
169;TE;TE20;5;Kyle Pitts;ATL;wk5;
170;QB;QB27;6;Aaron Rodgers;PIT;wk5;
171;QB;QB28;6;Cameron Ward;TEN;wk10;
172;WR;WR68;8;Jalen Coker;CAR;wk14;
173;WR;WR69;8;Joshua Palmer;BUF;wk7;
174;WR;WR70;9;DeMario Douglas;NE;wk14;
175;WR;WR71;9;Quentin Johnston;LAC;wk12;
176;WR;WR72;9;Pat Bryant;DEN;wk12;
177;WR;WR73;9;Marvin Mims;DEN;wk12;
178;WR;WR74;9;Isaac TeSlaa;DET;wk8;
179;WR;WR75;9;Roman Wilson;PIT;wk5;
180;RB;RB57;8;Kendre Miller;NO;wk11;
181;RB;RB58;8;Braelon Allen;NYJ;wk9;
182;RB;RB59;8;Nick Chubb;HOU;wk6;
183;RB;RB60;9;Brashard Smith;KC;wk10;
184;RB;RB61;9;Kyle Monangai;CHI;wk5;
185;TE;TE21;5;Dalton Schultz;HOU;wk6;
186;TE;TE22;6;Mason Taylor;NYJ;wk9;
187;WR;WR76;9;Luther Burden;CHI;wk5;
188;WR;WR77;9;Devaughn Vele;DEN;wk12;
189;WR;WR78;9;Marquez Valdes-Scantling;SEA;wk8;
190;WR;WR79;9;Alec Pierce;IND;wk11;
191;WR;WR80;9;Josh Reynolds;NYJ;wk9;
192;TE;TE23;6;Juwan Johnson;NO;wk11;
193;TE;TE24;6;Tyler Higbee;LAR;wk8;
194;TE;TE25;6;Pat Freiermuth;PIT;wk5;
195;TE;TE26;6;Oronde Gadsden;LAC;wk12;
196;TE;TE27;6;Mike Gesicki;CIN;wk10;
197;WR;WR81;9;Dyami Brown;JAX;wk8;
198;WR;WR82;9;Darius Slayton;NYG;wk14;
199;WR;WR83;9;Michael Wilson;ARI;wk8;
200;WR;WR84;9;DeAndre Hopkins;BAL;wk7;
201;QB;QB29;6;Tyler Shough;NO;wk11;
202;QB;QB30;6;Daniel Jones;IND;wk11;
203;QB;QB31;6;Russell Wilson;NYG;wk14;
204;QB;QB32;6;Kenny Pickett;CLE;wk9;
205;QB;QB33;7;Anthony Richardson;IND;wk11;
206;QB;QB34;7;Shedeur Sanders;CLE;wk9;
207;QB;QB35;7;Jaxson Dart;NYG;wk14;
208;QB;QB36;7;Jalen Milroe;SEA;wk8;
209;QB;QB37;7;Kirk Cousins;ATL;wk5;
210;QB;QB38;7;Joe Flacco;CLE;wk9;
211;QB;QB39;7;Mason Rudolph;PIT;wk5;
212;QB;QB40;7;Spencer Rattler;NO;wk11;
213;QB;QB41;7;Will Levis;TEN;wk10;
214;QB;QB42;7;Jameis Winston;NYG;wk14;
215;TE;TE28;6;Isaiah Likely;BAL;wk7;
216;TE;TE29;6;Chig Okonkwo;TEN;wk10;
217;TE;TE30;6;Theo Johnson;NYG;wk14;
218;TE;TE31;6;Cade Otton;TB;wk9;
219;TE;TE32;6;Ja'Tavion Sanders;CAR;wk14;
220;TE;TE33;6;Darren Waller;MIA;wk12;
221;RB;RB62;9;Jarquez Hunter;LAR;wk8;
222;RB;RB63;9;Miles Sanders;DAL;wk10;
223;RB;RB64;9;Raheem Mostert;LV;wk8;
224;RB;RB65;9;Tahj Brooks;CIN;wk10;
225;RB;RB66;9;Blake Corum;LAR;wk8;
226;RB;RB67;9;Woody Marks;HOU;wk6;
227;RB;RB68;9;Jordan James;SF;wk14;
228;RB;RB69;9;Cam Akers;NO;wk11;
229;RB;RB70;9;Jacory Croskey-Merritt;WAS;wk12;
230;WR;WR85;9;Jalen Tolbert;DAL;wk10;
231;WR;WR86;9;Tory Horton;SEA;wk8;
232;WR;WR87;9;Andrei Iosivas;CIN;wk10;
233;WR;WR88;9;Robert Woods;PIT;wk5;
234;WR;WR89;9;Jalen McMillan;TB;wk9;
235;WR;WR90;9;Dont'e Thornton;LV;wk8;
236;WR;WR91;9;Tre Tucker;LV;wk8;
237;WR;WR92;9;Arian Smith;NYJ;wk9;
238;WR;WR93;9;Nick Westbrook-Ikhine;MIA;wk12;
239;WR;WR94;9;Greg Dortch;ARI;wk8;
240;WR;WR95;9;Brandin Cooks;NO;wk11;
241;WR;WR96;9;Tutu Atwell;LAR;wk8;
242;WR;WR97;9;Ray-Ray McCloud;ATL;wk5;
243;WR;WR98;9;Malachi Corley;NYJ;wk9;
244;WR;WR99;9;Calvin Austin;PIT;wk5;
